Year,Amount
2006,4.28
2007,4.10
2008,4.85
2009,6.55
2010,5.90
2011,5.55
2012,4.70
2013,4.90
2014,4.54
2015,5.47
2016,5.78
2017,6.84
2018,7.31
2019,7.38
2020,7.95
