Year,Amount
2014,400.00
2015,400.00
2016,500.00
2017,700.00
2018,800.00
2019,"1,000.00"
2020,"1,100.00"
2021*,"1,300.00"
2022*,"1,400.00"
2023*,"1,400.00"
