Year,Amount
2004,3.437
2005,3.502
2006,3.516
2007,3.383
2008,3.506
2009,3.205
2010,2.988
2011,2.311
2012,2.780
2013,2.871
2014,3.027
2015,2.966
2016,3.246
2017,3.576
2018,4.005
2019,4.475
2020,4.463
