Year,Amount
2004,195.06
2005,287.20
2006,450.86
2007,503.24
2008,389.16
2009,460.44
2010,659.10
2011,539.27
2012,482.18
2013,628.13
2014,604.96
2015,477.90
2016,440.08
2017,826.05
2018,526.00
2019,555.05
