Year,Amount
2004,4.99
2005,4.89
2006,4.96
2007,4.87
2008,4.65
2009,4.36
2010,4.45
2011,4.20
2012,4.54
2013,4.89
2014,4.56
2015,5.11
2016,5.27
2017,5.67
2018,6.02
2019,7.16
2020,7.39
