Year,Amount
2009,"4,610.00"
2010,"4,520.00"
2011,"4,660.00"
2012,"4,740.00"
2013,"4,800.00"
2014,"4,900.00"
2015,"4,800.00"
2016,"5,200.00"
2017,"5,900.00"
2018,"6,600.00"
2019,"7,300.00"
