Year,Amount
1999,25.2
2000,23.4
2001,24.4
2002,22.6
2003,21.0
2004,20.8
2005,20.1
2006,19.4
2007,18.2
2008,16.9
2009,15.8
2010,14.9
2011,14.8
2012,14.9
2013,14.6
2014,14.2
2015,14.7
2016,16.0
2017,17.3
2018,18.9
2019,21.5
